TACVD425_2018-05-01 14:35:08.667000000_CLN-0425032936
TACVD425_2018-05-01 14:35:10.667000000_CLN-0425032936
TACVD425_2018-05-01 14:35:10.667_CLN-0425032936
TACVD425_2018-05-01 14:35:12.714000000_CLN-0425032936
TACVD425_2018-05-01 14:35:12.714_CLN-0425032936
TACVD425_2018-05-01 14:35:14.652000000_CLN-0425032936
TACVD425_2018-05-01 14:35:14.652_CLN-0425032936
TACVD425_2018-05-01 14:35:16.745000000_CLN-0425032936
TACVD425_2018-05-01 14:35:16.745_CLN-0425032936
TACVD425_2018-05-01 14:35:18.745000000_CLN-0425032936
TACVD425_2018-05-01 14:35:18.745_CLN-0425032936
TACVD425_2018-05-01 14:35:20.730000000_CLN-0425032936
TACVD425_2018-05-01 14:35:20.730_CLN-0425032936
TACVD425_2018-05-01 14:35:22.747000000_CLN-0425032936
TACVD425_2018-05-01 14:35:22.747_CLN-0425032936
TACVD425_2018-05-01 14:35:24.747000000_CLN-0425032936
TACVD425_2018-05-01 14:35:24.747_CLN-0425032936
TACVD425_2018-05-01 14:35:26.747000000_CLN-0425032936
TACVD425_2018-05-01 14:35:26.747_CLN-0425032936
TACVD425_2018-05-01 14:35:28.747000000_CLN-0425032936
TACVD425_2018-05-01 14:35:28.747_CLN-0425032936
TACVD425_2018-05-01 14:35:30.747000000_CLN-0425032936
TACVD425_2018-05-01 14:35:30.747_CLN-0425032936
TACVD425_2018-05-01 14:35:32.778000000_CLN-0425032936
TACVD425_2018-05-01 14:35:32.778_CLN-0425032936
TACVD425_2018-05-01 14:35:34.747000000_CLN-0425032936
TACVD425_2018-05-01 14:35:34.747_CLN-0425032936
TACVD425_2018-05-01 14:35:36.747000000_CLN-0425032936
TACVD425_2018-05-01 14:35:36.747_CLN-0425032936
TACVD425_2018-05-01 14:35:38.731000000_CLN-0425032936
TACVD425_2018-05-01 14:35:38.731_CLN-0425032936
TACVD425_2018-05-01 14:35:40.794000000_CLN-0425032936
TACVD425_2018-05-01 14:35:40.794_CLN-0425032936
TACVD425_2018-05-01 14:35:42.794000000_CLN-0425032936
TACVD425_2018-05-01 14:35:42.794_CLN-0425032936
TACVD425_2018-05-01 14:35:44.731000000_CLN-0425032936
TACVD425_2018-05-01 14:35:44.731_CLN-0425032936
TACVD425_2018-05-01 14:35:46.731000000_CLN-0425032936
TACVD425_2018-05-01 14:35:46.731_CLN-0425032936
TACVD425_2018-05-01 14:35:48.763000000_CLN-0425032936
TACVD425_2018-05-01 14:35:48.763_CLN-0425032936
TACVD425_2018-05-01 14:35:50.794000000_CLN-0425032936
TACVD425_2018-05-01 14:35:50.794_CLN-0425032936
TACVD425_2018-05-01 14:35:52.747000000_CLN-0425032936
TACVD425_2018-05-01 14:35:52.747_CLN-0425032936
TACVD425_2018-05-01 14:35:54.747000000_CLN-0425032936
TACVD425_2018-05-01 14:35:54.747_CLN-0425032936
